42C0AB71,PAKM
42DBFEF6,SWS
42F4C8D1,ACIIDS
4366C780,ICGI
43742018,CTIC
44815780,WSC
44ADC5A3,ADMI
44C9D190,CONIELECOMP
44F7644F,ISA
4527A09C,ISMM
45C7E457,DRCN
45D14EDE,UbiComp
46926BFF,CASCON
46A3F844,AI
46F865B7,HAIS
473581E8,ECCE
4761B00F,NSPW
856D618D,ACC
42C7B402,WSDM
42C99491,FPS
42F73407,FSTTCS
4326CCD6,ESANN
4372B502,ICMI
43A23F32,SECON
43A585B4,ISPDC
43B946B8,SOUPS
442E19D7,RANLP
451916EF,FCST
4523D0A5,ICONS
452F7228,IIR
453637D6,CGAMES
45673081,COMSNETS
45D9718E,VaMoS
45F914AD,NAACL
4606A0B0,CDVE
46081467,ICON
4692A0B1,EC-Web
46F6F355,CBSE
4726E440,EDM
473A22D9,ICPE
473F3BB1,RFID-TA
474677D8,PARCO
47568F35,TCoB
479D4D98,CP
42D8A0F3,AIMSA
432251B5,ICME
43254BF9,ELPUB
43A193B2,CLUSTER
44ACBCB7,ACML
44C93DEC,ESA
44CCC1CE,AMFG
450F627A,ONDM
454CC982,W2GIS
45700DCB,P2P
45FC642E,KSE
4607C954,EC
461982D8,SAMOS
461F33EF,SEW
465D12F0,PPDP
46AD78C1,DCC
471CBCFD,WORKS
4738187E,CIBB
476F3906,CCS
477202E3,BMVC
47B5E94A,A-MOST
47CA3817,Petri Nets
430122E0,PADL
433DE719,ICES
43B85068,CSCL
43C1EF66,ICPADS
43E30231,UDM
43E84C32,APLAS
44421CD5,WebMedia
446AAA55,BIRD
448D1E7E,ICDAR
449397C9,ISMIS
44B2697D,SARA
44B92818,PKAW
44BF6A26,ICWL
44CF28DC,SIGMAP
451D2615,ESEM
45230F0A,PST
4562CB61,AccessNets
4579FB5B,ITC
45A12B87,Stringology
45EB6430,LPNMR
4634306E,ADHOC-NOW
46AC2C9A,IFM
4752F5A1,NBiS
47650C33,BROADNETS
85BB5EB3,Mediacom
432DA9EE,DaMoN
432DDB7E,ETS
43A98FDA,SOSE
43CD4E8A,TCC
43CDABDA,SAS
4482B3A4,DIM
44D822DB,WISM
44DF880B,MVA
453E185C,WPMC
4542770D,SSIRI
459777C0,APSCC
45B176DF,JCDL
45C4ABE0,AISB
4608C574,ECMFA
46228D40,FMICS
46598FE3,NDSS
465F7C62,ICML
46CB61B2,RSP
46DA1590,MAICS
46E27806,ECSQARU
4783E335,SACI
47880EBE,ICSEA
478BCB40,IWDW
47C35ECC,ICMCS
433B9B9F,ARSO
440CCBEB,IEEM
442E5188,INTENSIVE
445372B4,ICTA
4472F8CF,INFOVIS
447A7E77,BIS
44AC2FEE,ICMAI
44AE44DD,CGI
450B99F2,ANSS
451BB32E,NOCS
453CB501,ICVS
4569270C,HICSS
45E8D393,ICDCN
460FDA1C,CATS
4627B282,MDAI
463119A6,COLT
464DFFCB,SCSC
468CDFB4,PSB
46FBFB42,MRC
470659EF,ISCSLP
47091364,GMAI
4786A6E3,ILP
42CC6E2D,CI
437413E1,CyberC
43C176E6,COMSWARE
43E6F40C,eHealth
44305079,SSBSE
44506119,GeNeMe
4455FCF9,CSWWS
446908FE,CoopIS
44E12FD1,ISWC
44EA5E08,BIBM
4542027C,EC-TEL
455A416B,EDCC
45F964A3,MobiQuitous
460A7036,SIGMOD
462EC289,IMIS
464A90B0,SMPS
465DBAD1,VMCAI
465F0C00,ICCM
46BC0EDE,ICWE
46C3B28B,SBBD
46FFF74D,ICWUS
4737FD14,ISPA
474BD8D0,PDPTA
477DF6EB,SLATE
47831A49,ISER
478ED67F,RV
47B967AF,DCAI
42CB1F93,ICMLC
42D493FC,ICASSP
43226B44,HPCA
4381C1AF,IFL
438B4414,DLS
439BCE5E,RecSys
44376BCB,EMMCVPR
44902F2C,ITHET
44AB61E1,RTCSA
44C1E1C1,EUROSEC
45E5BC3F,CIS
45FFFB88,ICSE
4668332C,BSN
46E8C2CD,VECPAR
46F3B6B4,TARK
4734B6A1,WILF
47490CF4,CTS
47870042,MIG
85CC4F4F,MINES
4304EC96,SETN
436150FA,ICC
43626F75,IVCNZ
437068C2,CIbSE
4372AEEF,SIGMETRICS
43E59455,HPCNCS
443CF3D6,SpringSim
44788D44,IDEAL
448ECA1D,FOCS
44E947F7,IHCI
45BA2C87,PDCAT
45E3CA1B,ICB
46469614,FDG
4686A887,ISSCC
4687CD2F,PECCS
46E903B1,CICC
46EE8E44,ACC
46FFDB2C,AMAST
4704764E,FPL
4769E092,RAID
477F6C83,FSE
4300B64E,Afrigraph
4307E237,WOSIS
437D615C,ICICIC
439F03CF,PACT
441886A1,TbiLLC
44DA004E,KR
44EBC01F,DATA
451090C0,IWRT
4515502B,ICPC
454ED2F8,ICFP
45610CDA,ICDE
45827814,NPC
45A2253F,VizSEC
45CC63B2,ICMT
462D0C46,ITP
46493DFD,ICSI
46EC7D07,DOLAP
4714E463,SOCA
471F9CDC,WebDB
47253C12,IIiX
472FC0F1,CSLP
476E7EAC,ISTA
478CDBCA,TAMC
47CCD291,GIR
